Slide Name,s902-d04-20250613r21-0001-e57e782cc417a320,
Encoding Quality,low
BitRate,0.100000
Number of Layers,10,
Pre-slide time,34.903000,seconds
Pre-focus time,0.025000,seconds
Focusing time,75.281000,seconds
Pre-imaging time,0.975000,seconds
Pre-BG time,0.753000,seconds
BG time,34.385000,seconds
Pre_scan time (move & zmap & imaging class def),6.604000,seconds
Spot number,XY-move,WaitTimeForFocus,CapturingTime,WaitTimeForResidualFrs,BG_compensation,DR_adjust,Tilt_Correction,Wait_for_encoder,Debayering,Lens_adjust,Total_Focus_Process,Encoding_Time,Total_Spot_Time,[~In milliseconds~]
99,339,22,363,40,71,211,20,0,42,42,397,308,785,
100,318,45,362,40,72,210,20,0,41,43,396,303,769,
101,279,79,362,40,72,209,19,0,42,43,396,302,847,
102,323,36,364,40,73,210,20,0,41,42,396,303,800,
103,317,45,362,40,73,212,20,0,40,40,395,302,1316,
104,821,0,363,40,70,210,20,0,41,43,395,305,764,
105,317,40,363,40,72,212,20,0,41,43,398,307,797,
106,313,51,364,40,72,209,20,0,41,43,396,302,818,
107,320,35,363,40,72,209,20,0,42,44,399,302,808,
108,319,36,370,40,72,209,20,0,40,44,396,307,809,
109,319,41,365,40,72,210,19,0,40,43,396,302,768,
110,277,75,367,40,72,210,20,0,41,44,397,303,846,
111,318,41,365,40,73,211,21,0,41,42,401,305,769,
112,280,76,362,40,71,209,19,0,41,45,397,303,848,
113,324,30,362,40,72,210,20,0,41,43,397,302,800,
114,322,37,363,40,72,209,20,0,41,44,397,303,801,
115,316,43,365,40,71,209,20,0,42,43,396,308,815,
116,320,37,363,40,71,210,20,0,40,42,394,301,1437,
117,954,0,362,40,71,210,20,0,40,43,395,308,720,
118,275,77,365,40,72,210,20,0,41,43,396,302,847,
119,322,32,362,40,74,210,19,0,41,44,399,303,752,
120,275,85,361,40,72,209,20,0,42,42,396,305,849,
121,317,41,361,40,71,209,20,0,42,42,395,303,767,
122,280,80,365,40,72,209,20,0,41,43,396,302,848,
123,319,39,362,40,74,209,20,0,42,42,397,311,768,
124,282,72,365,40,72,210,20,0,41,44,396,301,799,
125,279,78,365,40,72,209,20,0,41,45,396,301,849,
126,321,30,362,40,71,210,20,0,42,42,396,302,801,
127,323,36,361,40,72,210,20,0,41,43,396,302,801,
128,317,35,365,40,72,209,20,0,44,40,396,300,771,
129,280,69,365,40,72,212,22,0,40,40,396,299,1435,
130,914,0,362,40,70,209,20,0,42,43,395,305,768,
131,319,35,363,40,72,209,20,0,40,44,395,301,765,
132,279,76,364,40,72,210,20,0,42,44,398,304,847,
133,320,39,365,40,72,209,20,0,44,42,398,301,773,
134,277,80,359,40,71,209,19,0,41,43,394,302,844,
135,319,32,363,40,72,210,20,0,42,43,398,304,803,
136,318,34,364,40,72,209,20,0,41,44,396,311,767,
137,280,72,362,40,71,209,20,0,42,42,395,301,798,
138,276,80,364,40,71,209,20,0,41,44,395,301,849,
139,316,37,364,40,72,210,20,0,40,43,396,302,766,
140,277,74,365,40,72,209,20,0,40,45,397,301,848,
141,322,30,367,40,72,209,20,0,42,42,396,303,801,
142,316,34,366,40,72,211,19,0,40,40,393,299,1264,
143,775,0,360,40,70,210,20,0,42,42,395,306,766,
144,320,38,362,40,72,209,20,0,41,43,395,302,800,
145,313,38,363,40,71,210,20,0,43,42,397,302,771,
146,279,71,360,40,72,209,19,0,41,44,396,302,800,
147,276,71,363,40,72,209,20,0,40,43,395,302,847,
148,321,27,364,40,72,209,20,0,41,44,396,305,800,
149,317,31,362,41,71,210,20,0,42,45,398,306,798,
150,316,37,367,41,73,210,20,0,41,43,398,301,818,
151,320,33,364,40,72,209,20,0,40,44,396,301,815,
152,324,27,365,40,72,209,20,0,42,42,395,304,798,
153,315,42,371,40,72,211,20,0,40,40,393,299,1310,
154,809,0,362,40,69,209,20,0,42,42,394,309,775,
155,320,28,369,40,72,210,20,0,40,44,396,300,761,
156,275,76,362,40,71,209,19,0,41,43,394,302,853,
157,321,22,363,40,71,209,20,0,42,42,395,303,794,
158,318,35,365,40,71,210,19,0,41,45,398,302,769,
159,278,72,363,40,71,209,20,0,42,44,397,302,850,
160,323,27,362,40,71,209,19,0,42,41,394,301,804,
161,320,19,363,41,72,209,19,0,41,44,396,300,795,
162,318,26,363,40,72,210,20,0,40,40,393,300,2710,
Imaging Time,184.273000,seconds
Slide Time in total,261.839000,seconds
