Slide Name,s902-d04-20250613r19-0001-cf202bd9f0e4f114,
Encoding Quality,high
BitRate,0.500000
Number of Layers,10,
Pre-slide time,34.964000,seconds
Pre-focus time,0.029000,seconds
Focusing time,73.653000,seconds
Pre-imaging time,0.979000,seconds
Pre-BG time,0.568000,seconds
BG time,34.483000,seconds
Pre_scan time (move & zmap & imaging class def),6.777000,seconds
Spot number,XY-move,WaitTimeForFocus,CapturingTime,WaitTimeForResidualFrs,BG_compensation,DR_adjust,Tilt_Correction,Wait_for_encoder,Debayering,Lens_adjust,Total_Focus_Process,Encoding_Time,Total_Spot_Time,[~In milliseconds~]
98,316,42,358,50,72,209,20,0,40,43,394,315,817,
99,320,25,361,40,73,209,20,0,41,45,398,314,748,
100,279,78,361,40,72,209,20,0,41,42,393,319,798,
101,277,77,366,40,73,208,20,0,42,42,395,315,851,
102,322,32,361,40,72,209,20,0,41,43,395,315,800,
103,320,37,364,40,74,210,22,0,40,40,397,305,1310,
104,825,0,362,40,71,208,20,0,42,43,393,321,766,
105,323,29,363,40,72,209,20,0,41,44,396,318,753,
106,277,81,366,50,72,208,20,0,41,43,394,318,868,
107,322,23,364,40,72,209,20,0,42,44,396,318,750,
108,276,76,364,40,72,209,20,0,40,44,395,312,850,
109,320,28,368,40,72,210,20,0,42,43,397,421,799,
110,314,46,376,40,74,211,20,0,40,44,399,315,828,
111,322,29,367,40,73,208,20,0,40,44,396,316,804,
112,316,29,370,40,72,209,19,0,42,42,395,314,765,
113,279,74,361,40,74,208,20,0,41,43,396,319,802,
114,279,75,377,41,72,208,20,0,41,43,394,314,864,
115,320,32,362,41,71,212,20,0,43,45,401,315,797,
116,315,41,367,40,72,208,19,0,40,42,391,306,1453,
117,959,0,362,40,70,208,20,0,41,44,394,319,720,
118,275,76,364,40,73,209,20,0,42,43,396,312,800,
119,275,81,362,40,72,209,20,0,41,42,395,317,849,
120,321,32,369,40,72,209,19,0,43,43,395,320,799,
121,313,35,362,40,72,208,19,0,43,42,394,318,800,
122,317,36,364,50,71,209,20,0,40,45,395,319,815,
123,321,28,363,50,73,208,20,0,41,43,395,315,800,
124,313,31,358,40,72,208,19,0,41,44,395,315,760,
125,277,70,362,50,72,208,20,0,41,44,394,317,808,
126,279,65,362,40,72,209,20,0,42,43,395,319,835,
127,319,34,376,40,75,209,20,0,40,45,398,314,815,
128,315,38,369,40,72,208,20,0,41,44,394,316,817,
129,320,30,371,40,72,210,22,0,40,40,394,307,1404,
130,916,0,363,40,70,209,20,0,41,43,393,321,767,
131,319,30,369,40,72,208,20,0,40,45,395,316,807,
132,316,38,365,40,72,209,22,0,42,42,398,317,812,
133,321,34,367,40,72,208,20,0,42,42,394,316,769,
134,278,76,375,40,72,209,20,0,42,43,396,314,812,
135,275,82,364,40,74,209,20,0,41,44,398,312,849,
136,314,41,365,40,72,209,20,0,42,43,395,309,818,
137,321,26,363,40,72,209,19,0,41,43,394,418,796,
138,320,30,373,50,73,210,19,0,42,40,395,438,819,
139,316,31,373,41,79,210,20,0,40,44,403,314,810,
140,317,44,363,50,73,209,20,0,40,43,394,318,829,
141,313,15,364,40,72,208,20,0,41,43,395,316,791,
142,322,25,366,40,72,211,20,0,40,40,392,305,1245,
143,767,0,357,40,70,208,20,0,42,43,394,319,722,
144,276,76,365,40,73,208,20,0,41,45,398,318,850,
145,315,32,367,40,72,209,20,0,40,43,394,318,763,
146,276,74,364,40,74,208,19,0,42,42,397,314,847,
147,324,45,361,40,72,208,20,0,40,44,395,325,768,
148,276,83,372,40,72,208,20,0,43,43,395,316,873,
149,322,22,361,40,72,208,20,0,40,44,394,315,791,
150,320,37,360,40,73,209,20,0,42,45,400,318,812,
151,319,29,366,40,72,209,20,0,40,44,395,315,810,
152,323,29,361,40,73,210,19,0,42,42,396,315,794,
153,315,36,366,40,72,210,20,0,40,40,392,304,1311,
154,821,0,363,40,73,208,20,0,42,43,396,413,767,
155,317,34,373,40,73,210,20,0,41,44,397,315,820,
156,319,30,364,40,72,211,20,0,41,43,397,314,799,
157,313,32,363,40,72,208,20,0,41,42,394,314,766,
158,278,71,375,40,75,209,20,0,42,44,399,315,818,
159,279,70,365,40,72,208,20,0,41,43,394,315,846,
160,320,28,364,40,72,209,19,0,40,44,395,307,802,
161,314,28,368,40,72,208,20,0,40,43,394,313,762,
162,277,74,367,40,71,212,19,0,40,42,394,407,2758,
Imaging Time,184.636000,seconds
Slide Time in total,260.587000,seconds

