Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,zlayer,level
GET,0_10,1,0,72.5366729311645,72.5366729311645,72.5366729311645,72.5366729311645,1311172.0,z10,15
GET,0_12,1,0,76.72889390960336,76.72889390960336,76.72889390960336,76.72889390960336,1259250.0,z10,15
GET,0_13,1,0,78.46126612275839,78.46126612275839,78.46126612275839,78.46126612275839,1284702.0,z10,15
GET,10_16,1,0,81.20791707187891,81.20791707187891,81.20791707187891,81.20791707187891,1669813.0,z10,15
GET,10_17,1,0,73.58792703598738,73.58792703598738,73.58792703598738,73.58792703598738,1482953.0,z10,15
GET,10_18,1,0,90.7548633404076,90.7548633404076,90.7548633404076,90.7548633404076,1625244.0,z10,15
GET,10_19,1,0,72.00334826484323,72.00334826484323,72.00334826484323,72.00334826484323,1501425.0,z10,15
GET,10_20,1,0,44.61922636255622,44.61922636255622,44.61922636255622,44.61922636255622,1643189.0,z10,15
GET,10_7,1,0,75.85518015548587,75.85518015548587,75.85518015548587,75.85518015548587,1473931.0,z10,15
GET,10_9,2,0,70.0,73.3752311207354,69.80435503646731,76.9461072050035,1445168.0,z10,15
GET,11_11,1,0,71.62851095199585,71.62851095199585,71.62851095199585,71.62851095199585,1561139.0,z10,15
GET,11_13,2,0,72.0,72.03095965087414,71.54676504433155,72.51515425741673,1555762.0,z10,15
GET,11_16,1,0,78.69777083396912,78.69777083396912,78.69777083396912,78.69777083396912,1644243.0,z10,15
GET,11_17,1,0,76.99674926698208,76.99674926698208,76.99674926698208,76.99674926698208,1544074.0,z10,15
GET,11_22,1,0,77.7875049971044,77.7875049971044,77.7875049971044,77.7875049971044,1601319.0,z10,15
GET,11_4,1,0,74.02616320177913,74.02616320177913,74.02616320177913,74.02616320177913,1650572.0,z10,15
GET,11_6,1,0,70.66888688132167,70.66888688132167,70.66888688132167,70.66888688132167,1660037.0,z10,15
GET,11_8,1,0,71.192376781255,71.192376781255,71.192376781255,71.192376781255,1627494.0,z10,15
GET,12_0,1,0,75.88165020570159,75.88165020570159,75.88165020570159,75.88165020570159,1341842.0,z10,15
GET,12_1,2,0,76.0,77.59965769946575,75.62237605452538,79.57693934440613,1353167.0,z10,15
GET,12_16,1,0,75.84178913384676,75.84178913384676,75.84178913384676,75.84178913384676,1614604.0,z10,15
GET,12_17,1,0,74.24077810719609,74.24077810719609,74.24077810719609,74.24077810719609,1418477.0,z10,15
GET,12_2,1,0,77.24557816982269,77.24557816982269,77.24557816982269,77.24557816982269,1500191.0,z10,15
GET,12_23,1,0,77.4304959923029,77.4304959923029,77.4304959923029,77.4304959923029,1451389.0,z10,15
GET,12_25,1,0,77.1303060464561,77.1303060464561,77.1303060464561,77.1303060464561,1458662.0,z10,15
GET,12_3,1,0,77.95998966321349,77.95998966321349,77.95998966321349,77.95998966321349,1302101.0,z10,15
GET,12_4,1,0,76.9981537014246,76.9981537014246,76.9981537014246,76.9981537014246,1594814.0,z10,15
GET,12_8,1,0,74.10714915022254,74.10714915022254,74.10714915022254,74.10714915022254,1561654.0,z10,15
GET,12_9,1,0,77.66707288101315,77.66707288101315,77.66707288101315,77.66707288101315,1336292.0,z10,15
GET,13_16,2,0,66.02279422804713,76.4144987333566,66.02279422804713,86.80620323866606,1633882.0,z10,15
GET,13_20,2,0,72.0,72.62611296027899,71.93976920098066,73.31245671957731,1641565.0,z10,15
GET,13_21,1,0,77.53475289791822,77.53475289791822,77.53475289791822,77.53475289791822,1488067.0,z10,15
GET,13_24,1,0,71.51977298781276,71.51977298781276,71.51977298781276,71.51977298781276,1606455.0,z10,15
GET,13_27,1,0,72.67271494492888,72.67271494492888,72.67271494492888,72.67271494492888,1485482.0,z10,15
GET,14_16,1,0,77.65995478257537,77.65995478257537,77.65995478257537,77.65995478257537,1641970.0,z10,15
GET,14_17,1,0,76.39977522194386,76.39977522194386,76.39977522194386,76.39977522194386,1482709.0,z10,15
GET,14_24,1,0,73.817343916744,73.817343916744,73.817343916744,73.817343916744,1665734.0,z10,15
GET,14_3,1,0,71.53504714369774,71.53504714369774,71.53504714369774,71.53504714369774,1447099.0,z10,15
GET,14_8,1,0,75.95906313508749,75.95906313508749,75.95906313508749,75.95906313508749,1643488.0,z10,15
GET,15_1,1,0,74.84092703089118,74.84092703089118,74.84092703089118,74.84092703089118,1347814.0,z10,15
GET,15_18,1,0,77.83503318205476,77.83503318205476,77.83503318205476,77.83503318205476,1642626.0,z10,15
GET,15_19,2,0,72.13297998532653,72.76005647145212,72.13297998532653,73.3871329575777,1538602.0,z10,15
GET,15_24,1,0,77.68755173310637,77.68755173310637,77.68755173310637,77.68755173310637,1645377.0,z10,15
GET,15_6,1,0,78.90743017196655,78.90743017196655,78.90743017196655,78.90743017196655,1648412.0,z10,15
GET,16_12,2,0,73.0,74.09714814275503,72.93397421017289,75.26032207533717,1629522.0,z10,15
GET,16_14,1,0,79.12534801289439,79.12534801289439,79.12534801289439,79.12534801289439,1631476.0,z10,15
GET,16_16,1,0,78.04096210747957,78.04096210747957,78.04096210747957,78.04096210747957,1616877.0,z10,15
GET,16_18,1,0,76.95545488968492,76.95545488968492,76.95545488968492,76.95545488968492,1625304.0,z10,15
GET,16_19,1,0,72.44328083470464,72.44328083470464,72.44328083470464,72.44328083470464,1383125.0,z10,15
GET,16_23,1,0,75.31445287168026,75.31445287168026,75.31445287168026,75.31445287168026,1464347.0,z10,15
GET,16_26,1,0,78.30839697271585,78.30839697271585,78.30839697271585,78.30839697271585,1622875.0,z10,15
GET,16_4,1,0,79.68974020332098,79.68974020332098,79.68974020332098,79.68974020332098,1601956.0,z10,15
GET,16_5,1,0,71.48188864812255,71.48188864812255,71.48188864812255,71.48188864812255,1359184.0,z10,15
GET,16_7,1,0,70.19946398213506,70.19946398213506,70.19946398213506,70.19946398213506,1370096.0,z10,15
GET,17_1,1,0,76.66095905005932,76.66095905005932,76.66095905005932,76.66095905005932,1342950.0,z10,15
GET,17_10,1,0,72.41846481338143,72.41846481338143,72.41846481338143,72.41846481338143,1641991.0,z10,15
GET,17_14,1,0,71.48017128929496,71.48017128929496,71.48017128929496,71.48017128929496,1627691.0,z10,15
GET,17_23,1,0,74.5146949775517,74.5146949775517,74.5146949775517,74.5146949775517,1511214.0,z10,15
GET,17_28,2,0,72.0,72.89103441871703,71.69218081980944,74.08988801762462,1530540.0,z10,15
GET,17_6,2,0,79.0,79.32765176519752,78.71363731101155,79.94166621938348,1640005.0,z10,15
GET,17_8,1,0,71.53255911543965,71.53255911543965,71.53255911543965,71.53255911543965,1613618.0,z10,15
GET,17_9,1,0,77.79446383938193,77.79446383938193,77.79446383938193,77.79446383938193,1407073.0,z10,15
GET,18_16,1,0,65.13117579743266,65.13117579743266,65.13117579743266,65.13117579743266,1650559.0,z10,15
GET,18_18,1,0,76.29130594432354,76.29130594432354,76.29130594432354,76.29130594432354,1627283.0,z10,15
GET,18_23,1,0,78.68930604308844,78.68930604308844,78.68930604308844,78.68930604308844,1483553.0,z10,15
GET,18_24,1,0,77.06392696127295,77.06392696127295,77.06392696127295,77.06392696127295,1659210.0,z10,15
GET,18_3,1,0,72.86676298826933,72.86676298826933,72.86676298826933,72.86676298826933,1492064.0,z10,15
GET,18_8,1,0,71.58319791778922,71.58319791778922,71.58319791778922,71.58319791778922,1627087.0,z10,15
GET,19_11,1,0,76.6000752337277,76.6000752337277,76.6000752337277,76.6000752337277,1538801.0,z10,15
GET,19_13,2,0,71.89854886382818,71.8427540268749,71.78695918992162,71.89854886382818,1524943.0,z10,15
GET,19_15,1,0,75.53945994004607,75.53945994004607,75.53945994004607,75.53945994004607,1571875.0,z10,15
GET,19_16,2,0,78.0,81.82437298819423,77.7814919129014,85.86725406348705,1606781.0,z10,15
GET,19_17,1,0,77.48480513691902,77.48480513691902,77.48480513691902,77.48480513691902,1504756.0,z10,15
GET,19_21,1,0,74.76431876420975,74.76431876420975,74.76431876420975,74.76431876420975,1563047.0,z10,15
GET,19_22,2,0,72.36485416069627,75.51732356660068,72.36485416069627,78.66979297250509,1645835.0,z10,15
GET,19_23,1,0,75.15001995489001,75.15001995489001,75.15001995489001,75.15001995489001,1521813.0,z10,15
GET,19_24,2,0,74.0,75.42508887127042,73.54472484439611,77.30545289814472,1634648.0,z10,15
GET,19_9,1,0,75.58008003979921,75.58008003979921,75.58008003979921,75.58008003979921,1524763.0,z10,15
GET,1_16,1,0,74.31472232565284,74.31472232565284,74.31472232565284,74.31472232565284,1551497.0,z10,15
GET,20_10,1,0,75.11578034609556,75.11578034609556,75.11578034609556,75.11578034609556,1559525.0,z10,15
GET,20_12,1,0,77.79393484815955,77.79393484815955,77.79393484815955,77.79393484815955,1611301.0,z10,15
GET,20_18,1,0,78.88968009501696,78.88968009501696,78.88968009501696,78.88968009501696,1628249.0,z10,15
GET,20_2,1,0,77.45835930109024,77.45835930109024,77.45835930109024,77.45835930109024,1339931.0,z10,15
GET,20_20,1,0,80.51068289205432,80.51068289205432,80.51068289205432,80.51068289205432,1618180.0,z10,15
GET,20_23,2,0,74.0,76.2400315143168,73.99270217865705,78.48736084997654,1425437.0,z10,15
GET,20_3,1,0,78.10237118974328,78.10237118974328,78.10237118974328,78.10237118974328,1372466.0,z10,15
GET,20_6,2,0,72.49215012416244,74.62722063064575,72.49215012416244,76.76229113712907,1625173.0,z10,15
GET,20_8,1,0,80.5041971616447,80.5041971616447,80.5041971616447,80.5041971616447,1629719.0,z10,15
GET,21_10,1,0,79.40732501447201,79.40732501447201,79.40732501447201,79.40732501447201,1588980.0,z10,15
GET,21_11,1,0,80.42940497398376,80.42940497398376,80.42940497398376,80.42940497398376,1450555.0,z10,15
GET,21_14,1,0,83.9253319427371,83.9253319427371,83.9253319427371,83.9253319427371,1634921.0,z10,15
GET,21_16,2,0,73.0,73.28161457553506,72.62991927564144,73.93330987542868,1578373.0,z10,15
GET,21_19,1,0,70.4676159657538,70.4676159657538,70.4676159657538,70.4676159657538,1493612.0,z10,15
GET,21_26,2,0,72.0,72.41438375785947,71.97713665664196,72.85163085907698,1605469.0,z10,15
GET,22_12,1,0,72.65167310833931,72.65167310833931,72.65167310833931,72.65167310833931,1587041.0,z10,15
GET,22_13,1,0,72.48258590698242,72.48258590698242,72.48258590698242,72.48258590698242,1476264.0,z10,15
GET,22_18,1,0,75.01633884385228,75.01633884385228,75.01633884385228,75.01633884385228,1640123.0,z10,15
GET,22_19,1,0,70.16217103227973,70.16217103227973,70.16217103227973,70.16217103227973,1459227.0,z10,15
GET,22_23,1,0,72.75408087298274,72.75408087298274,72.75408087298274,72.75408087298274,1515227.0,z10,15
GET,22_24,1,0,82.85008510574698,82.85008510574698,82.85008510574698,82.85008510574698,1677544.0,z10,15
GET,22_3,1,0,76.67260570451617,76.67260570451617,76.67260570451617,76.67260570451617,1351897.0,z10,15
GET,22_6,2,0,71.0,74.17847053147852,70.92507323250175,77.4318678304553,1590404.0,z10,15
GET,22_7,1,0,76.20708830654621,76.20708830654621,76.20708830654621,76.20708830654621,1425475.0,z10,15
GET,23_11,1,0,72.48890912160277,72.48890912160277,72.48890912160277,72.48890912160277,1520562.0,z10,15
GET,23_16,1,0,74.13890305906534,74.13890305906534,74.13890305906534,74.13890305906534,1603268.0,z10,15
GET,23_21,1,0,71.8429321423173,71.8429321423173,71.8429321423173,71.8429321423173,1540221.0,z10,15
