Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,zlayer,level
GET,10_7,1,0,77.10676826536655,77.10676826536655,77.10676826536655,77.10676826536655,1307780.0,z10,15
GET,11_9,2,0,76.0,77.58505130186677,75.88190771639347,79.28819488734007,1303738.0,z10,15
GET,12_17,1,0,79.55467887222767,79.55467887222767,79.55467887222767,79.55467887222767,1302508.0,z10,15
GET,12_18,1,0,78.85813480243087,78.85813480243087,78.85813480243087,78.85813480243087,1307948.0,z10,15
GET,13_13,2,0,73.48001934587955,74.95502335950732,73.48001934587955,76.43002737313509,1292603.0,z10,15
GET,13_2,1,0,71.27947360277176,71.27947360277176,71.27947360277176,71.27947360277176,1313380.0,z10,15
GET,14_20,1,0,78.09691736474633,78.09691736474633,78.09691736474633,78.09691736474633,1309452.0,z10,15
GET,14_24,1,0,78.88700300827622,78.88700300827622,78.88700300827622,78.88700300827622,1307147.0,z10,15
GET,14_26,2,0,74.0,77.42291805334389,73.96638626232743,80.87944984436035,1319645.0,z10,15
GET,15_0,1,0,76.32556837052107,76.32556837052107,76.32556837052107,76.32556837052107,1329925.0,z10,15
GET,15_21,1,0,75.23120800033212,75.23120800033212,75.23120800033212,75.23120800033212,1304853.0,z10,15
GET,16_20,1,0,78.58962891623378,78.58962891623378,78.58962891623378,78.58962891623378,1309587.0,z10,15
GET,17_1,1,0,73.16046487540007,73.16046487540007,73.16046487540007,73.16046487540007,1300989.0,z10,15
GET,17_19,1,0,72.69700104370713,72.69700104370713,72.69700104370713,72.69700104370713,1307227.0,z10,15
GET,17_20,1,0,84.29532404989004,84.29532404989004,84.29532404989004,84.29532404989004,1313581.0,z10,15
GET,17_21,1,0,72.11323454976082,72.11323454976082,72.11323454976082,72.11323454976082,1310677.0,z10,15
GET,17_28,1,0,73.59634200111032,73.59634200111032,73.59634200111032,73.59634200111032,1321654.0,z10,15
GET,18_16,1,0,75.51732333377004,75.51732333377004,75.51732333377004,75.51732333377004,1302822.0,z10,15
GET,19_10,1,0,77.85751717165112,77.85751717165112,77.85751717165112,77.85751717165112,1285341.0,z10,15
GET,19_26,1,0,74.73854906857014,74.73854906857014,74.73854906857014,74.73854906857014,1319227.0,z10,15
GET,19_27,1,0,73.56080319732428,73.56080319732428,73.56080319732428,73.56080319732428,1327467.0,z10,15
GET,19_4,2,0,77.28364830836654,79.99901846051216,77.28364830836654,82.71438861265779,1286751.0,z10,15
GET,19_5,1,0,75.1920728944242,75.1920728944242,75.1920728944242,75.1920728944242,1312500.0,z10,15
GET,20_10,1,0,76.17762964218855,76.17762964218855,76.17762964218855,76.17762964218855,1262771.0,z10,15
GET,20_11,1,0,76.86385791748762,76.86385791748762,76.86385791748762,76.86385791748762,1308328.0,z10,15
GET,20_2,1,0,88.57447374612093,88.57447374612093,88.57447374612093,88.57447374612093,1342626.0,z10,15
GET,20_6,1,0,74.82957001775503,74.82957001775503,74.82957001775503,74.82957001775503,1268765.0,z10,15
GET,20_7,1,0,80.36702498793602,80.36702498793602,80.36702498793602,80.36702498793602,1306567.0,z10,15
GET,21_21,3,0,75.71435114368796,75.43368932480614,75.02025505527854,75.71435114368796,1318731.0,z10,15
GET,21_23,1,0,79.0258296765387,79.0258296765387,79.0258296765387,79.0258296765387,1324451.0,z10,15
GET,21_8,1,0,75.43639605864882,75.43639605864882,75.43639605864882,75.43639605864882,1257422.0,z10,15
GET,21_9,1,0,75.27078175917268,75.27078175917268,75.27078175917268,75.27078175917268,1300835.0,z10,15
GET,22_14,1,0,75.36253100261092,75.36253100261092,75.36253100261092,75.36253100261092,1319789.0,z10,15
GET,22_16,1,0,82.50147756189108,82.50147756189108,82.50147756189108,82.50147756189108,1323312.0,z10,15
GET,22_9,1,0,73.4779592603445,73.4779592603445,73.4779592603445,73.4779592603445,1314692.0,z10,15
GET,23_14,1,0,75.35565691068769,75.35565691068769,75.35565691068769,75.35565691068769,1299373.0,z10,15
GET,23_15,1,0,76.34440110996366,76.34440110996366,76.34440110996366,76.34440110996366,1293572.0,z10,15
GET,23_21,1,0,81.7100671119988,81.7100671119988,81.7100671119988,81.7100671119988,1320683.0,z10,15
GET,24_14,2,0,74.0,74.94252407923341,73.69349291548133,76.19155524298549,1272014.0,z10,15
GET,24_17,1,0,77.3341660387814,77.3341660387814,77.3341660387814,77.3341660387814,1318350.0,z10,15
GET,25_22,1,0,78.03391991183162,78.03391991183162,78.03391991183162,78.03391991183162,1326765.0,z10,15
GET,26_13,1,0,76.3234500773251,76.3234500773251,76.3234500773251,76.3234500773251,1321898.0,z10,15
GET,27_11,1,0,74.39623400568962,74.39623400568962,74.39623400568962,74.39623400568962,1281969.0,z10,15
GET,27_19,2,0,75.0,75.81223896704614,74.64723382145166,76.97724411264062,1297764.0,z10,15
GET,28_19,1,0,72.94637290760875,72.94637290760875,72.94637290760875,72.94637290760875,1306727.0,z10,15
GET,2_20,1,0,74.77674493566155,74.77674493566155,74.77674493566155,74.77674493566155,1302104.0,z10,15
GET,2_22,1,0,74.28213208913803,74.28213208913803,74.28213208913803,74.28213208913803,1317861.0,z10,15
GET,2_6,1,0,80.74043691158295,80.74043691158295,80.74043691158295,80.74043691158295,1339641.0,z10,15
GET,2_8,1,0,83.60717399045825,83.60717399045825,83.60717399045825,83.60717399045825,1332654.0,z10,15
GET,4_12,1,0,79.53719003126025,79.53719003126025,79.53719003126025,79.53719003126025,1317671.0,z10,15
GET,4_22,1,0,71.9437119551003,71.9437119551003,71.9437119551003,71.9437119551003,1257324.0,z10,15
GET,5_10,1,0,72.67060596495867,72.67060596495867,72.67060596495867,72.67060596495867,1296586.0,z10,15
GET,5_18,1,0,76.0499513708055,76.0499513708055,76.0499513708055,76.0499513708055,1300988.0,z10,15
GET,6_10,2,0,74.23520181328058,74.93908936157823,74.23520181328058,75.64297690987587,1308682.0,z10,15
GET,6_15,1,0,73.52592889219522,73.52592889219522,73.52592889219522,73.52592889219522,1311267.0,z10,15
GET,6_26,1,0,75.13000024482608,75.13000024482608,75.13000024482608,75.13000024482608,1310016.0,z10,15
GET,6_4,1,0,82.06785982474685,82.06785982474685,82.06785982474685,82.06785982474685,1342703.0,z10,15
GET,6_8,1,0,78.9388744160533,78.9388744160533,78.9388744160533,78.9388744160533,1310364.0,z10,15
GET,7_17,1,0,79.9050834029913,79.9050834029913,79.9050834029913,79.9050834029913,1305407.0,z10,15
GET,7_7,1,0,74.6529707685113,74.6529707685113,74.6529707685113,74.6529707685113,1309837.0,z10,15
GET,8_17,1,0,71.12960703670979,71.12960703670979,71.12960703670979,71.12960703670979,1316461.0,z10,15
GET,8_25,1,0,78.73467775061727,78.73467775061727,78.73467775061727,78.73467775061727,1302782.0,z10,15
GET,8_9,1,0,76.4171788468957,76.4171788468957,76.4171788468957,76.4171788468957,1310812.0,z10,15
GET,9_22,2,0,75.10803313925862,75.66080614924431,75.10803313925862,76.21357915923,1248011.0,z10,15
GET,9_3,1,0,73.20934301242232,73.20934301242232,73.20934301242232,73.20934301242232,1329269.0,z10,15
GET,10_11,1,0,68.8882083632052,68.8882083632052,68.8882083632052,68.8882083632052,1343530.0,z10,16
GET,10_19,1,0,70.52048202604055,70.52048202604055,70.52048202604055,70.52048202604055,1293112.0,z10,16
GET,10_23,1,0,65.69615611806512,65.69615611806512,65.69615611806512,65.69615611806512,1302430.0,z10,16
GET,11_10,1,0,65.25712786242366,65.25712786242366,65.25712786242366,65.25712786242366,1358908.0,z10,16
GET,11_11,1,0,68.33453709259629,68.33453709259629,68.33453709259629,68.33453709259629,1333753.0,z10,16
GET,11_20,1,0,65.36867097020149,65.36867097020149,65.36867097020149,65.36867097020149,1292605.0,z10,16
GET,12_10,1,0,67.82706500962377,67.82706500962377,67.82706500962377,67.82706500962377,1336383.0,z10,16
GET,12_11,1,0,65.67097688093781,65.67097688093781,65.67097688093781,65.67097688093781,1307715.0,z10,16
GET,12_24,1,0,65.44000701978803,65.44000701978803,65.44000701978803,65.44000701978803,1314477.0,z10,16
GET,13_17,1,0,63.62059898674488,63.62059898674488,63.62059898674488,63.62059898674488,1306197.0,z10,16
GET,13_18,2,0,68.0,68.86791507713497,67.84243695437908,69.89339319989085,1295872.0,z10,16
GET,13_4,1,0,75.98016690462828,75.98016690462828,75.98016690462828,75.98016690462828,1344583.0,z10,16
GET,14_14,1,0,63.38670291006565,63.38670291006565,63.38670291006565,63.38670291006565,1277283.0,z10,16
GET,14_22,1,0,63.90172196552157,63.90172196552157,63.90172196552157,63.90172196552157,1295611.0,z10,16
GET,14_4,1,0,65.16316020861268,65.16316020861268,65.16316020861268,65.16316020861268,1347922.0,z10,16
GET,14_5,1,0,66.83089397847652,66.83089397847652,66.83089397847652,66.83089397847652,1310387.0,z10,16
GET,15_21,1,0,66.39682501554489,66.39682501554489,66.39682501554489,66.39682501554489,1317494.0,z10,16
GET,15_23,2,0,71.0,71.6307763941586,70.92798594385386,72.33356684446335,1299966.0,z10,16
GET,16_13,1,0,65.49405120313168,65.49405120313168,65.49405120313168,65.49405120313168,1270791.0,z10,16
GET,16_17,1,0,67.21458723768592,67.21458723768592,67.21458723768592,67.21458723768592,1281148.0,z10,16
GET,16_20,1,0,66.75555789843202,66.75555789843202,66.75555789843202,66.75555789843202,1328947.0,z10,16
GET,17_5,1,0,72.76419689878821,72.76419689878821,72.76419689878821,72.76419689878821,1335685.0,z10,16
GET,18_13,1,0,67.26855412125587,67.26855412125587,67.26855412125587,67.26855412125587,1246421.0,z10,16
GET,18_15,1,0,66.48544501513243,66.48544501513243,66.48544501513243,66.48544501513243,1284660.0,z10,16
GET,18_18,1,0,66.34245999157429,66.34245999157429,66.34245999157429,66.34245999157429,1283543.0,z10,16
GET,18_24,1,0,62.27999413385987,62.27999413385987,62.27999413385987,62.27999413385987,1232694.0,z10,16
GET,19_17,1,0,65.65026473253965,65.65026473253965,65.65026473253965,65.65026473253965,1252258.0,z10,16
GET,19_8,1,0,67.16962717473507,67.16962717473507,67.16962717473507,67.16962717473507,1299579.0,z10,16
GET,1_21,1,0,65.35087898373604,65.35087898373604,65.35087898373604,65.35087898373604,1341935.0,z10,16
GET,20_10,1,0,63.4157769382,63.4157769382,63.4157769382,63.4157769382,1293013.0,z10,16
GET,20_12,2,0,68.0,68.2594277895987,67.71642062813044,68.80243495106697,1236117.0,z10,16
GET,20_20,1,0,65.52332174032927,65.52332174032927,65.52332174032927,65.52332174032927,1300427.0,z10,16
GET,20_21,1,0,66.16064999252558,66.16064999252558,66.16064999252558,66.16064999252558,1327854.0,z10,16
GET,20_7,1,0,66.34396966546774,66.34396966546774,66.34396966546774,66.34396966546774,1324217.0,z10,16
GET,21_5,1,0,69.28435480222106,69.28435480222106,69.28435480222106,69.28435480222106,1327635.0,z10,16
GET,21_7,1,0,67.72899301722646,67.72899301722646,67.72899301722646,67.72899301722646,1315921.0,z10,16
GET,22_18,1,0,69.40023275092244,69.40023275092244,69.40023275092244,69.40023275092244,1293323.0,z10,16
GET,23_19,1,0,67.297772038728,67.297772038728,67.297772038728,67.297772038728,1299006.0,z10,16
GET,23_4,1,0,66.93975441157818,66.93975441157818,66.93975441157818,66.93975441157818,1356592.0,z10,16
GET,24_2,1,0,67.53589026629925,67.53589026629925,67.53589026629925,67.53589026629925,1371797.0,z10,16
GET,24_7,1,0,65.96320075914264,65.96320075914264,65.96320075914264,65.96320075914264,1326031.0,z10,16
GET,25_10,1,0,74.00907995179296,74.00907995179296,74.00907995179296,74.00907995179296,1296163.0,z10,16
GET,25_12,2,0,65.22769900038838,65.81778055988252,65.22769900038838,66.40786211937666,1243182.0,z10,16
GET,25_14,1,0,67.14055733755231,67.14055733755231,67.14055733755231,67.14055733755231,1284318.0,z10,16
GET,25_26,1,0,64.34395769611001,64.34395769611001,64.34395769611001,64.34395769611001,1281527.0,z10,16
GET,26_0,1,0,67.33982730656862,67.33982730656862,67.33982730656862,67.33982730656862,1347146.0,z10,16
GET,26_18,1,0,66.22935365885496,66.22935365885496,66.22935365885496,66.22935365885496,1287711.0,z10,16
GET,27_6,1,0,69.87612275406718,69.87612275406718,69.87612275406718,69.87612275406718,1286562.0,z10,16
GET,27_9,1,0,64.92845993489027,64.92845993489027,64.92845993489027,64.92845993489027,1237391.0,z10,16
GET,28_19,1,0,66.64013816043735,66.64013816043735,66.64013816043735,66.64013816043735,1322439.0,z10,16
GET,4_13,1,0,62.28626286610961,62.28626286610961,62.28626286610961,62.28626286610961,1363735.0,z10,16
GET,6_22,1,0,69.22088470309973,69.22088470309973,69.22088470309973,69.22088470309973,1273719.0,z10,16
GET,7_12,1,0,67.45082698762417,67.45082698762417,67.45082698762417,67.45082698762417,1348517.0,z10,16
GET,7_27,1,0,70.52393211051822,70.52393211051822,70.52393211051822,70.52393211051822,1311070.0,z10,16
GET,8_16,1,0,64.82995208352804,64.82995208352804,64.82995208352804,64.82995208352804,1294001.0,z10,16
GET,9_16,1,0,64.88033197820187,64.88033197820187,64.88033197820187,64.88033197820187,1316459.0,z10,16
GET,10_41,1,0,90.37398593500257,90.37398593500257,90.37398593500257,90.37398593500257,899413.0,z10,17
GET,11_50,1,0,92.36642718315125,92.36642718315125,92.36642718315125,92.36642718315125,939835.0,z10,17
GET,12_47,1,0,91.03703824803232,91.03703824803232,91.03703824803232,91.03703824803232,910104.0,z10,17
GET,14_37,1,0,91.78511472418904,91.78511472418904,91.78511472418904,91.78511472418904,906674.0,z10,17
GET,17_45,1,0,94.55377329140902,94.55377329140902,94.55377329140902,94.55377329140902,904422.0,z10,17
GET,20_22,1,0,90.7790600322187,90.7790600322187,90.7790600322187,90.7790600322187,957531.0,z10,17
GET,20_43,1,0,91.61838190630078,91.61838190630078,91.61838190630078,91.61838190630078,878087.0,z10,17
GET,20_45,1,0,91.42313990741968,91.42313990741968,91.42313990741968,91.42313990741968,816896.0,z10,17
GET,22_22,1,0,93.23477512225509,93.23477512225509,93.23477512225509,93.23477512225509,949709.0,z10,17
GET,22_45,1,0,92.20684366300702,92.20684366300702,92.20684366300702,92.20684366300702,914546.0,z10,17
GET,24_39,1,0,96.3592859916389,96.3592859916389,96.3592859916389,96.3592859916389,902210.0,z10,17
GET,26_31,1,0,93.59840489923954,93.59840489923954,93.59840489923954,93.59840489923954,902318.0,z10,17
GET,26_35,1,0,94.50533427298068,94.50533427298068,94.50533427298068,94.50533427298068,926198.0,z10,17
GET,26_38,1,0,92.54929888993502,92.54929888993502,92.54929888993502,92.54929888993502,936597.0,z10,17
GET,29_10,1,0,88.91551801934838,88.91551801934838,88.91551801934838,88.91551801934838,934677.0,z10,17
GET,2_45,1,0,92.80412085354328,92.80412085354328,92.80412085354328,92.80412085354328,956224.0,z10,17
GET,31_53,1,0,92.04733418300748,92.04733418300748,92.04733418300748,92.04733418300748,925209.0,z10,17
GET,32_37,1,0,101.39761120080948,101.39761120080948,101.39761120080948,101.39761120080948,928919.0,z10,17
GET,32_40,1,0,92.8305028937757,92.8305028937757,92.8305028937757,92.8305028937757,928642.0,z10,17
GET,32_45,1,0,90.44685401022434,90.44685401022434,90.44685401022434,90.44685401022434,916570.0,z10,17
GET,33_15,1,0,88.28716725111008,88.28716725111008,88.28716725111008,88.28716725111008,946131.0,z10,17
GET,33_19,1,0,92.59827760979532,92.59827760979532,92.59827760979532,92.59827760979532,926825.0,z10,17
